"LOCATION","ageRange","V1","obsValue","share"
"CAN","0-20",8128924,37589262,0.216256547
"CAN","21-40",10286131,37589262,0.273645463
"CAN","41-50",4817415,37589262,0.12815934
"CAN","51-60",5252293,37589262,0.139728548
"CAN","61-70",4608495,37589262,0.12260137
"CAN","71-80",2871037,37589262,0.07637918
"CAN","81+",1624967,37589262,0.043229553
"NL","0-20",98508,521542,0.188878365
"NL","21-40",116080,521542,0.222570761
"NL","41-50",68657,521542,0.131642322
"NL","51-60",84145,521542,0.161338876
"NL","61-70",81344,521542,0.155968263
"NL","71-80",50674,521542,0.097161878
"NL","81+",22134,521542,0.042439535
"PE","0-20",33717,156947,0.214830484
"PE","21-40",38565,156947,0.245719893
"PE","41-50",19831,156947,0.126354757
"PE","51-60",22609,156947,0.144054999
"PE","61-70",21273,156947,0.135542572
"PE","71-80",14019,156947,0.089323147
"PE","81+",6933,156947,0.044174148
"NS","0-20",188126,971395,0.193665811
"NS","21-40",241764,971395,0.248883307
"NS","41-50",118226,971395,0.121707441
"NS","51-60",146676,971395,0.150995218
"NS","61-70",139767,971395,0.143882767
"NS","71-80",90664,971395,0.093333814
"NS","81+",46172,971395,0.047531643
"NB","0-20",153064,776827,0.197037436
"NB","21-40",177445,776827,0.228422802
"NB","41-50",100288,776827,0.129099529
"NB","51-60",119296,776827,0.153568298
"NB","61-70",115293,776827,0.148415284
"NB","71-80",73855,776827,0.095072648
"NB","81+",37586,776827,0.048384003
"QC","0-20",1763147,8484965,0.207796614
"QC","21-40",2182403,8484965,0.25720825
"QC","41-50",1087073,8484965,0.128117559
"QC","51-60",1207213,8484965,0.142276721
"QC","61-70",1124019,8484965,0.132471849
"QC","71-80",722944,8484965,0.085202944
"QC","81+",398166,8484965,0.046926063
"ON","0-20",3141693,14566547,0.215678637
"ON","21-40",4061469,14566547,0.278821673
"ON","41-50",1856123,14566547,0.127423678
"ON","51-60",2059539,14566547,0.141388278
"ON","61-70",1716408,14566547,0.117832181
"ON","71-80",1088744,14566547,0.074742765
"ON","81+",642571,14566547,0.044112788
"MB","0-20",346946,1369465,0.253344189
"MB","21-40",386108,1369465,0.281940758
"MB","41-50",167925,1369465,0.122620877
"MB","51-60",172495,1369465,0.125957947
"MB","61-70",150364,1369465,0.109797622
"MB","71-80",91123,1369465,0.066539123
"MB","81+",54504,1369465,0.039799484
"SK","0-20",301858,1174462,0.257018107
"SK","21-40",327302,1174462,0.278682495
"SK","41-50",140743,1174462,0.119836146
"SK","51-60",146169,1174462,0.124456134
"SK","61-70",132823,1174462,0.113092633
"SK","71-80",75305,1174462,0.06411872
"SK","81+",50262,1174462,0.042795765
"AB","0-20",1074744,4371316,0.245862802
"AB","21-40",1308634,4371316,0.299368428
"AB","41-50",595819,4371316,0.136301974
"AB","51-60",553824,4371316,0.126695027
"AB","61-70",456499,4371316,0.104430565
"AB","71-80",245980,4371316,0.056271384
"AB","81+",135816,4371316,0.03106982
"BC","0-20",990700,5071336,0.195352862
"BC","21-40",1408388,5071336,0.277715379
"BC","41-50",646413,5071336,0.127464045
"BC","51-60",723713,5071336,0.142706577
"BC","61-70",659506,5071336,0.13004581
"BC","71-80",413294,5071336,0.081496079
"BC","81+",229322,5071336,0.045219248
"YT","0-20",8951,40854,0.219097273
"YT","21-40",11976,40854,0.29314143
"YT","41-50",5708,40854,0.139717041
"YT","51-60",6040,40854,0.14784354
"YT","61-70",5179,40854,0.126768493
"YT","71-80",2220,40854,0.054339844
"YT","81+",780,40854,0.019092378
"NT","0-20",11855,44826,0.26446705
"NT","21-40",13891,44826,0.309887119
"NT","41-50",6190,44826,0.138089502
"NT","51-60",6577,44826,0.146722884
"NT","61-70",4250,44826,0.094811047
"NT","71-80",1531,44826,0.034154285
"NT","81+",532,44826,0.011868112
"NU","0-20",15615,38780,0.402656008
"NU","21-40",12106,38780,0.312171222
"NU","41-50",4419,38780,0.11395049
"NU","51-60",3997,38780,0.103068592
"NU","61-70",1770,38780,0.045642084
"NU","71-80",684,38780,0.017637958
"NU","81+",189,38780,0.004873646
"CAF","0-20",,,0.024
"CAF","21-40",,,0.704
"CAF","41-50",,,0.21
"CAF","51-60",,,0.062
"CAF","61-70",,,0
"CAF","71-80",,,0
"CAF","81+",,,0
